0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:12: 7:21:12 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:13: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:13: 7:21:13 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:14: 7:21:14 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:14: 7:21:14 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:14: 7:21:14 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:14: 7:21:14 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
0|url-tracker  | 2025-05-13T07:21:14: Flushed 0 pending click updates to database
0|url-tracker  | 2025-05-13T07:21:14: 7:21:14 AM [access] Access check for path: /public/api/v1/landing/not_integrated
0|url-tracker  | 2025-05-13T07:21:14: 7:21:14 AM [access] Access denied for path: /public/api/v1/landing/not_integrated - no valid session or API key
